epoch,train_loss,val_loss,train_reg,val_reg,train_edge,val_edge,train_tv,val_tv,lr
45,0.017103,0.010546,0.015137,0.009949,0.009832,0.002985,0.004274,0.004126,5.82435060e-05
46,0.017789,0.010535,0.015567,0.009623,0.011111,0.004563,0.003647,0.003430,5.67039951e-05
47,0.016957,0.010340,0.015191,0.009352,0.008834,0.004936,0.003632,0.004005,5.51583615e-05
48,0.016138,0.010279,0.014570,0.009394,0.007839,0.004427,0.003782,0.004272,5.36081307e-05
49,0.018503,0.010739,0.015031,0.010255,0.017362,0.002421,0.003931,0.003720,5.20548326e-05
50,0.017291,0.010622,0.014980,0.010058,0.011557,0.002818,0.003705,0.003573,5.05000000e-05
1,0.041279,0.026141,0.013714,0.007064,0.137822,0.095398,0.000200,0.000360,9.99755747e-05
2,0.026108,0.015992,0.018541,0.015977,0.037842,0.000074,0.000646,0.000947,9.99023231e-05
3,0.022726,0.013580,0.019963,0.012423,0.013817,0.005780,0.000712,0.000802,9.97803172e-05
4,0.021949,0.013237,0.020991,0.012527,0.004791,0.003548,0.000793,0.000869,9.96096777e-05
5,0.021188,0.013146,0.020380,0.012753,0.004040,0.001969,0.000940,0.001108,9.93905729e-05
6,0.020762,0.012640,0.019396,0.012230,0.006829,0.002049,0.001291,0.001292,9.91232189e-05
7,0.019834,0.012260,0.018782,0.011354,0.005265,0.004529,0.001377,0.001707,9.88078797e-05
8,0.019157,0.011729,0.017454,0.010840,0.008514,0.004447,0.001877,0.001707,9.84448665e-05
9,0.018979,0.011521,0.017343,0.010917,0.008176,0.003023,0.002045,0.002058,9.80345374e-05
10,0.018247,0.011357,0.016606,0.010566,0.008204,0.003958,0.002587,0.002351,9.75772976e-05
11,0.017870,0.011236,0.016241,0.010482,0.008143,0.003767,0.002535,0.002643,9.70735981e-05
12,0.018037,0.011508,0.016579,0.011218,0.007288,0.001449,0.002573,0.002406,9.65239361e-05
13,0.018091,0.011153,0.016289,0.010547,0.009009,0.003029,0.003057,0.002924,9.59288540e-05
